source,freq,year,quarter,type_id,is_provisional,n,value_kchf,value_chf,geo_id
T_05_05_1_1_01,Q,2012,4,ppe_existing,0,176.0,205311.0,205311000.0,0000
T_05_05_1_1_01,Q,2012,4,ppe_new,0,100.0,136731.0,136731000.0,0000
T_05_05_1_1_01,Q,2013,1,commercial,0,6.0,38840.0,38840000.0,0000
T_05_05_1_1_01,Q,2013,1,house,0,115.0,270741.0,270741000.0,0000
T_05_05_1_1_01,Q,2013,1,house_existing,0,88.0,224217.0,224217000.0,0000
T_05_05_1_1_01,Q,2013,1,house_new,0,27.0,46524.0,46524000.0,0000
T_05_05_1_1_01,Q,2013,1,land,0,32.0,34965.0,34965000.0,0000
T_05_05_1_1_01,Q,2013,1,mixed,0,14.0,307616.0,307616000.0,0000
T_05_05_1_1_01,Q,2013,1,multi_unit,0,19.0,103629.0,103629000.0,0000
T_05_05_1_1_01,Q,2013,1,ppe,0,189.0,287065.0,287065000.0,0000
T_05_05_1_1_01,Q,2013,1,ppe_existing,0,125.0,213090.0,213090000.0,0000
T_05_05_1_1_01,Q,2013,1,ppe_new,0,64.0,73975.0,73975000.0,0000
T_05_05_1_1_01,Q,2013,2,commercial,0,7.0,166100.0,166100000.0,0000
T_05_05_1_1_01,Q,2013,2,house,0,131.0,287376.0,287376000.0,0000
T_05_05_1_1_01,Q,2013,2,house_existing,0,116.0,250729.0,250729000.0,0000
T_05_05_1_1_01,Q,2013,2,house_new,0,15.0,36647.0,36647000.0,0000
T_05_05_1_1_01,Q,2013,2,land,0,33.0,13961.0,13961000.0,0000
T_05_05_1_1_01,Q,2013,2,mixed,0,5.0,60971.0,60971000.0,0000
T_05_05_1_1_01,Q,2013,2,multi_unit,0,11.0,42080.0,42080000.0,0000
T_05_05_1_1_01,Q,2013,2,ppe,0,171.0,209476.0,209476000.0,0000
T_05_05_1_1_01,Q,2013,2,ppe_existing,0,135.0,160125.0,160125000.0,0000
T_05_05_1_1_01,Q,2013,2,ppe_new,0,36.0,49351.0,49351000.0,0000
T_05_05_1_1_01,Q,2013,3,commercial,0,9.0,271304.0,271304000.0,0000
T_05_05_1_1_01,Q,2013,3,house,0,126.0,357904.0,357904000.0,0000
T_05_05_1_1_01,Q,2013,3,house_existing,0,111.0,333067.0,333067000.0,0000
T_05_05_1_1_01,Q,2013,3,house_new,0,15.0,24837.0,24837000.0,0000
T_05_05_1_1_01,Q,2013,3,land,0,32.0,13889.0,13889000.0,0000
T_05_05_1_1_01,Q,2013,3,mixed,0,9.0,47918.0,47918000.0,0000
T_05_05_1_1_01,Q,2013,3,multi_unit,0,13.0,66470.0,66470000.0,0000
T_05_05_1_1_01,Q,2013,3,ppe,0,225.0,301889.0,301889000.0,0000
T_05_05_1_1_01,Q,2013,3,ppe_existing,0,150.0,197184.0,197184000.0,0000
T_05_05_1_1_01,Q,2013,3,ppe_new,0,75.0,104705.0,104705000.0,0000
T_05_05_1_1_01,Q,2013,4,commercial,0,7.0,115645.0,115645000.0,0000
T_05_05_1_1_01,Q,2013,4,house,0,172.0,356832.0,356832000.0,0000
T_05_05_1_1_01,Q,2013,4,house_existing,0,121.0,274535.0,274535000.0,0000
T_05_05_1_1_01,Q,2013,4,house_new,0,51.0,82297.0,82297000.0,0000
T_05_05_1_1_01,Q,2013,4,land,0,43.0,47431.0,47431000.0,0000
T_05_05_1_1_01,Q,2013,4,mixed,0,17.0,93152.0,93152000.0,0000
T_05_05_1_1_01,Q,2013,4,multi_unit,0,25.0,132864.0,132864000.0,0000
T_05_05_1_1_01,Q,2013,4,ppe,0,303.0,368178.0,368178000.0,0000
T_05_05_1_1_01,Q,2013,4,ppe_existing,0,168.0,190250.0,190250000.0,0000
T_05_05_1_1_01,Q,2013,4,ppe_new,0,135.0,177928.0,177928000.0,0000
T_05_05_1_1_01,Q,2014,1,commercial,0,11.0,173752.0,173752000.0,0000
T_05_05_1_1_01,Q,2014,1,house,0,106.0,280431.0,280431000.0,0000
