source,freq,year,quarter,geo_label,type_id,condition,market,is_provisional,n,unit,geo_id,p25,median,p75
T_05_05_1_4_03,Y,2024,,Genève,ppe,all,zd,0,48.0,CHF_per_m2,6621,5930.0,6398.0,6783.0
T_05_05_1_4_03,Y,2024,,Genève,ppe,all,all,0,405.0,CHF_per_m2,6621,10503.0,12443.0,14377.0
T_05_05_1_4_03,Y,2024,,Grand-Saconnex,ppe,new,libre,0,,CHF_per_m2,6623,,,
T_05_05_1_4_03,Y,2024,,Grand-Saconnex,ppe,existing,libre,0,17.0,CHF_per_m2,6623,10000.0,11075.0,11340.0
T_05_05_1_4_03,Y,2024,,Grand-Saconnex,ppe,all,libre,0,17.0,CHF_per_m2,6623,10000.0,11075.0,11340.0
T_05_05_1_4_03,Y,2024,,Grand-Saconnex,ppe,all,zd,0,,CHF_per_m2,6623,,,
T_05_05_1_4_03,Y,2024,,Grand-Saconnex,ppe,all,all,0,17.0,CHF_per_m2,6623,10000.0,11075.0,11340.0
T_05_05_1_4_03,Y,2024,,Lancy,ppe,new,libre,0,3.0,CHF_per_m2,6628,,,
T_05_05_1_4_03,Y,2024,,Lancy,ppe,existing,libre,0,59.0,CHF_per_m2,6628,9073.0,9760.0,10656.0
T_05_05_1_4_03,Y,2024,,Lancy,ppe,all,libre,0,62.0,CHF_per_m2,6628,9130.0,9741.0,10580.0
T_05_05_1_4_03,Y,2024,,Lancy,ppe,all,zd,0,9.0,CHF_per_m2,6628,,,
T_05_05_1_4_03,Y,2024,,Lancy,ppe,all,all,0,71.0,CHF_per_m2,6628,8759.0,9628.0,10516.0
T_05_05_1_4_03,Y,2024,,Meyrin,ppe,new,libre,0,11.0,CHF_per_m2,6630,8333.0,10474.0,11615.0
T_05_05_1_4_03,Y,2024,,Meyrin,ppe,existing,libre,0,28.0,CHF_per_m2,6630,7579.0,8727.0,9240.0
T_05_05_1_4_03,Y,2024,,Meyrin,ppe,all,libre,0,39.0,CHF_per_m2,6630,7658.0,8857.0,10289.0
T_05_05_1_4_03,Y,2024,,Meyrin,ppe,all,zd,0,,CHF_per_m2,6630,,,
T_05_05_1_4_03,Y,2024,,Meyrin,ppe,all,all,0,39.0,CHF_per_m2,6630,7658.0,8857.0,10289.0
